album,album_date,photo_count,bucket,reason,matched_post_id,matched_post_title,containment,date_delta_days,marker,needs_review_subtype
THE DAMNED : The Evil Spirits Tour 2018,2018-07-11,72,REPAIR,strong title + in-window + dead-gallery marker,67850,Photos: THE DAMNED : Evil Spirits Tour 2018 @ The Commodore Ballroom,1.00,1,jig2;fbcdn,
The Damned SOLD OUT 40th Anniversary Tour 2017 with Bleached,2017-04-19,45,REPAIR,strong title + in-window + dead-gallery marker,67750,Photos of The Damned SOLD OUT 40th Anniversary Tour 2017 with Bleached,1.00,0,jig2;fbcdn,
The Dandy Warhols,2016-12-09,19,REPAIR,strong title + in-window + dead-gallery marker,67751,Photos of The Dandy Warhols at The Commodore Ballroom in Vancouver,1.00,0,jig2;fbcdn,
The Distillers @ The Commodore Ballroom,2018-09-15,22,REPAIR,strong title + in-window + dead-gallery marker,67852,Photos: The Distillers @ The Commodore Ballroom,1.00,0,jig2;fbcdn,
"The Dudes, Mindil Beach, and Rolla Olak at the Imperial, 6/14/14",2014-06-16,30,REPAIR,strong title + in-window + dead-gallery marker,66124,"The Dudes, Mindil Beach, and Rolla Olak at the Imperial",1.00,2,oauth,
The Eagles with JD and the Straight Shot,2018-05-12,22,REPAIR,"hand-review: false-ADD, headliner-dilution, confirmed broken gallery",67853,Photos: The Eagles @ Rogers Arena in Vancouver B.C.,0.25,1,oauth,
The Flesh Eaters,2018-01-27,14,REPAIR,strong title + in-window + dead-gallery marker,67854,Photos: The Flesh Eaters @ The Rickshaw Theatre in Vancouver,1.00,0,oauth,
"The Fratellis @ The Commodore / April 26, 2018",2018-04-29,16,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67855,Photos: The Fratellis @ The Commodore Ballroom,0.50,0,jig2;fbcdn,
The Funk Hunters: Funk The Halls / with Mat The Alien and Frase,2018-01-10,17,REPAIR,strong title + in-window + dead-gallery marker,67856,"Photos: The Funk Hunters: Funk The Halls with Mat The Alien,�and Frase",1.00,0,jig2;fbcdn,
The Gaslight Anthem,2015-03-21,10,REPAIR,strong title + in-window + dead-gallery marker,68524,The Gaslight Anthem at The Commodore Ballroom,1.00,1,oauth,
The Growlers with the Garden Twins,2014-10-12,14,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),66353,The Growlers with the Garden Twins at Rickshaw Theatre,1.00,5,fbcdn,
The Harpoonist & The Axe Murderer @ Fox Cabaret,2018-11-18,15,REPAIR,strong title + in-window + dead-gallery marker,67857,Photos: The Harpoonist & The Axe Murderer @�Fox Cabaret,1.00,0,jig2;fbcdn,
The Internet | Hive Mind Tour 2018,2018-10-28,13,REPAIR,strong title + in-window + dead-gallery marker,67858,Photos: The Internet | Hive Mind Tour 2018,1.00,0,jig2;fbcdn,
The Jim Cuddy Band,2018-02-24,12,REPAIR,strong title + in-window + dead-gallery marker,67861,Photos: The Jim Cuddy Band @ The Vogue Theatre,1.00,0,jig2;fbcdn,
The Melvins,2016-05-06,18,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),67756,"Photos of The Melvins, Napalm Death, and Melt Banana",1.00,0,fbcdn,
The New Pornographers,2017-10-02,13,REPAIR,strong title + in-window + dead-gallery marker,67757,Photos of The New Pornographers at The Commodore Ballroom in Vancouver,1.00,0,jig2;fbcdn,
The Noise Presents Behemoth: Ecclesia Diabolica America 2018 E.V.,2018-11-23,45,REPAIR,"hand-review: false-ADD, headliner-dilution, confirmed broken gallery",67511,Photos: Behemoth @ The Commodore Ballroom,0.14,1,jig2;fbcdn,
The Offspring / Sublime with Rome / Mad Caddies,2017-07-10,68,REPAIR,strong title + in-window + dead-gallery marker,67863,Photos : The Offspring / Sublime with Rome / Mad Caddies,1.00,3,jig2;fbcdn,
The Orwells,2014-09-26,8,REPAIR,strong title + in-window + dead-gallery marker,67339,The Orwells at Rickshaw Theatre,1.00,3,oauth,
The Pistolwhips,2015-02-22,8,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),67929,The Pistolwhips at The Media Club,1.00,5,fbcdn,
The Psychedelic Furs @ The Commodore Ballroom // July 28 / 2018,2018-08-01,33,REPAIR,strong title + in-window + dead-gallery marker,67866,Photos: The Psychedelic Furs @ The Commodore // July 28 / 2018,0.83,1,jig2;fbcdn,
The Sheepdogs,2018-02-17,26,REPAIR,strong title + in-window + dead-gallery marker,67871,Photos: The Sheepdogs @ The Commodore Ballroom in Vancouver,1.00,1,jig2;fbcdn,
The Sheepdogs @ Malkin Bowl / Sept.1 / 2018,2018-09-02,18,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67870,Photos: The Sheepdogs @ Malkin Bowl,0.60,0,oauth,
The Shins,2017-05-28,14,REPAIR,strong title + in-window + dead-gallery marker,67872,Photos: The Shins @ The Queen Elizabeth Theatre,1.00,0,jig2;fbcdn,
The Struts at The Imperial,2016-11-11,25,REPAIR,strong title + in-window + dead-gallery marker,67836,Photos Of The Struts at The Imperial in Vancouver,1.00,0,oauth,
The Tea Party,2017-04-05,36,REPAIR,strong title + in-window + dead-gallery marker,67759,Photos of The Tea Party at The Commodore Ballroom,1.00,0,jig2;fbcdn,
The Village People / P.N.E. Summer Concerts 2018,2018-09-03,24,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67879,Photos: The Village People @ The P.N.E. Amphitheatre,0.71,0,oauth,
The Weeknd,2017-10-07,30,REPAIR,strong title + in-window + dead-gallery marker,67762,Photos of The Weeknd at Rogers Arena in Vancouver,1.00,1,jig2;fbcdn,
"The Wood Brothers, Mandolin Orange",2015-01-24,15,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),69177,"The Wood Brothers, Mandolin Orange at Imperial Vancouver",1.00,6,fbcdn,
The Wooden Horsemen @ The Wise Lounge | Nov. 3 / 2018,2018-11-07,18,REPAIR,strong title + in-window + dead-gallery marker,67883,Photos: The Wooden Horsemen @ The Wise Lounge,1.00,1,oauth,
"The Written Years, Little Wild, Greg Drummond",2015-01-18,35,REPAIR,strong title + in-window + dead-gallery marker,69190,"The Written Years, Little Wild, Greg Drummond at Fortune Soundclub",1.00,2,oauth,
"The Zolas, James Younger, and Damn Fools at the Imperial, 6/13/14",2014-06-16,37,REPAIR,strong title + in-window + dead-gallery marker,69219,"The Zolas, James Younger, and Damn Fools at the Imperial",1.00,2,oauth,
The Zombies / Odessey & Oracle 50th Anniversary Final Tour,2017-04-24,63,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",65435,Photos of The Zombies in Vancouver,0.17,0,jig2;fbcdn,
Theory of a Deadman,2018-02-27,25,REPAIR,strong title + in-window + dead-gallery marker,67885,Photos: Theory of a Deadman @ The Commodore Ballroom,1.00,1,jig2;fbcdn,
Thievery Corporation @ The Commodore Ballroom,2018-12-31,27,REPAIR,strong title + in-window + dead-gallery marker,67887,Photos:�Thievery Corporation @�The Commodore Ballroom,1.00,1,oauth,
Three Days Grace w/ Bad Wolves and Nothing More,2018-12-20,35,REPAIR,strong title + in-window + dead-gallery marker,68645,Three Days Grace w/ Bad Wolves and Nothing More @ The Abbotsford Centre,1.00,1,jig2;fbcdn,
Tim Hicks and Chad Brownlee,2017-01-08,30,REPAIR,strong title + in-window + dead-gallery marker,67763,Photos of Tim Hicks and Chad Brownlee,1.00,0,oauth,
TIM HICKS Get Loud Tour W/ Tebey and Andrew Hyatt,2018-12-02,41,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67889,Photos: Tim Hicks �Get Loud Tour 2018� @ The Abbotsford Centre,0.57,0,jig2;fbcdn,
"Toro y Moi with Astronauts, etc.",2015-09-23,11,REPAIR,strong title + in-window + dead-gallery marker,68686,"Toro y Moi with Astronauts, etc. at the Biltmore Cabaret",1.00,0,oauth,
Trampled by Turtles @ The Commodore Ballroom,2018-07-04,20,REPAIR,strong title + in-window + dead-gallery marker,67890,Photos: Trampled by Turtles @ The Commodore Ballroom,1.00,1,jig2;fbcdn,
Twenty One Pilots,2014-10-15,15,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),68730,Twenty One Pilots at The Rio Theatre,1.00,5,fbcdn,
Twin Shadow,2015-08-27,15,REPAIR,strong title + in-window + dead-gallery marker,67765,Photos of Twin Shadow at the Imperial,1.00,0,oauth,
Ty Segall & the Muggers,2016-01-23,16,REPAIR,strong title + in-window + dead-gallery marker,65431,Photos of Ty Segall & the Muggers at the Vogue Theatre,1.00,0,jig2;fbcdn,
"Tyler, The Creator",2018-01-27,28,REPAIR,strong title + in-window + dead-gallery marker,67897,"Photos: Tyler, The Creator @ The Pacific Coliseum",1.00,0,jig2;fbcdn,
UBCP/ACTRA'a 75th Anniversary and Awards 2018,2018-12-21,185,REPAIR,strong title + in-window + dead-gallery marker,68746,UBCP/ACTRA Awards celebrate 75th Anniversary with top local talent,1.00,0,jig2;fbcdn,
"Uncle Acid & the Deadbeats, Black Wizard",2014-10-09,13,REPAIR,strong title + in-window + dead-gallery marker,68748,"Uncle Acid & the Deadbeats, Black Wizard at Rickshaw Theatre",1.00,0,oauth,
USS + Bonavista Tour 2018 | Commodore Ballroom,2018-11-16,23,REPAIR,strong title + in-window + dead-gallery marker,67900,Photos: USS | Bonavista Tour @ The Commodore Ballroom,1.00,1,jig2;fbcdn,
USS [UBIQUITOUS SYNERGY SEEKER,2017-02-12,27,REPAIR,"hand-review: false-ADD, headliner-dilution, confirmed broken gallery",67766,Photos of USS at The Commodore Ballroom,0.25,0,jig2;fbcdn,
Vancouver Dragon Boat Festival 2018,2018-06-25,27,REPAIR,strong title + in-window + dead-gallery marker,68795,Vancouver Dragon Boat Festival /�Concord Pacific Place / Creekside Park,1.00,1,jig2;fbcdn,
Vancouver Folk Music Festival - Day 2,2018-07-16,35,REPAIR,strong title + in-window + dead-gallery marker,67903,Photos: Vancouver Folk Music Festival Day 2,1.00,0,jig2;fbcdn,
Vancouver Folk Music Festival - Day 3,2014-07-23,104,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),68811,Vancouver Folk Music Festival � Day 3,1.00,6,fbcdn,
Vancouver Folk Music Festival - Day Three,2016-07-18,45,REPAIR,strong title + in-window + dead-gallery marker,67768,Photos of Vancouver Folk Music Festival � Day Three,1.00,0,jig2;fb-vw;fbcdn,
Vancouver Folk Music Festival - Day Two,2016-07-17,66,REPAIR,strong title + in-window + dead-gallery marker,67769,Photos of Vancouver Folk Music Festival � Day Two,1.00,0,jig2;fb-vw;fbcdn,
Vancouver Folk Music Festival - Sunday - Day 3,2014-07-23,64,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),68802,Vancouver Folk Music Festival 2014 � Sunday � Day 3,1.00,6,fbcdn,
Vancouver Folk Music Festival 2017,2017-07-18,96,REPAIR,strong title + in-window + dead-gallery marker,67901,Photos: Vancouver Folk Music Festival 2017,1.00,0,jig2;fbcdn,
Vancouver International Burlesque Festival,2016-05-13,21,REPAIR,strong title + in-window + dead-gallery marker,67770,Photos of Vancouver International Burlesque Festival,1.00,0,oauth,
Vancouver Mural Fest 2018: The Park Show,2018-08-12,47,REPAIR,strong title + in-window + dead-gallery marker,67907,Photos:�VANCOUVER MURAL FEST 2018: The Park Show,1.00,0,jig2;fbcdn,
Vancouver Pride Parade 2017,2017-08-07,34,REPAIR,strong title + in-window + dead-gallery marker,67745,Photos of The 37th Annual Vancouver Pride Parade 2017,1.00,0,jig2;fbcdn,
Vancouver Women's March,2017-01-22,73,REPAIR,strong title + in-window + dead-gallery marker,67761,70 Powerful Photos of the Women�s March in Vancouver,1.00,1,jig2;fbcdn,
"Veruca Salt with the Echo Friendly at the Biltmore, 6/24/14",2014-06-26,20,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),68873,Veruca Salt with the Echo Friendly at the Biltmore,1.00,5,fbcdn,
Vince Staples with Kilo Kish,2017-03-02,36,REPAIR,strong title + in-window + dead-gallery marker,65419,36 Stunning Photos of Vince Staples with Kilo Kish at The Vogue Theatre,1.00,1,oauth,
Vintage Trouble,2017-11-13,23,REPAIR,strong title + in-window + dead-gallery marker,67909,Photos: Vintage Trouble @ The Rickshaw Theatre in Vancouver,1.00,0,jig2;fbcdn,
Violent Femmes,2017-08-07,37,REPAIR,strong title + in-window + dead-gallery marker,67910,Photos: Violent Femmes at The P.N.E. Amphitheatre in Vancouver,1.00,1,jig2;fbcdn,
"Wacken Metal Battle Canada at the Rickshaw Theatre, 05/03/14",2014-05-06,26,REPAIR,strong title + in-window + dead-gallery marker,68894,Wacken Metal Battle Canada at the Rickshaw Theatre,1.00,0,oauth,
"Wacken Metal Battle Canada at Venue Nightclub, 03/30/14",2014-04-02,18,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),68895,Wacken Metal Battle Canada at Venue Nightclub,1.00,4,fbcdn,
Westward Festival / Day 3 / Ralph,2017-09-18,12,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),68932,Westward Music Festival / Day 3 / Sept. 16 / with Vince Staples at The Vogue Theatre,0.80,0,fbcdn,
Westward Music Festival / Day 2 / Brass @ The Vogue,2017-09-18,14,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),68931,Westward Music Festival / Day 2 / Sept. 15 / 2017 at The Vogue Theatre,0.86,0,fbcdn,
Westward Music Festival / Day 2 / PUP,2017-09-18,14,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),68931,Westward Music Festival / Day 2 / Sept. 15 / 2017 at The Vogue Theatre,0.83,0,fbcdn,
Westward Music Festival / Day 2 / Sightlines,2017-09-18,20,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),68931,Westward Music Festival / Day 2 / Sept. 15 / 2017 at The Vogue Theatre,0.83,0,fbcdn,
Westward Music Festival / Day 2 / Touche Amore,2017-09-18,15,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",68931,Westward Music Festival / Day 2 / Sept. 15 / 2017 at The Vogue Theatre,0.67,0,fbcdn,
Westward Music Festival / Day 3 / Busty And The Brass,2017-09-18,14,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",68932,Westward Music Festival / Day 3 / Sept. 16 / with Vince Staples at The Vogue Theatre,0.67,0,fbcdn,
Westward Music Festival / Day 3 / Charlotte Day Wilson,2017-09-18,12,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",68932,Westward Music Festival / Day 3 / Sept. 16 / with Vince Staples at The Vogue Theatre,0.67,0,fbcdn,
Westward Music Festival / Day 3 / Vince Staples,2017-09-18,14,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),68932,Westward Music Festival / Day 3 / Sept. 16 / with Vince Staples at The Vogue Theatre,1.00,0,fbcdn,
Westward Music Festival 2018 / Mudhoney /  @ The Rickshaw,2018-09-17,23,REPAIR,strong title + in-window + dead-gallery marker,67663,Photos: Mudhoney / Westward Music Festival 2018,0.80,1,jig2;fbcdn,
White Lung - Levitation,2016-06-21,21,REPAIR,strong title + in-window + dead-gallery marker,65406,21 Photos of White Lung at Levitation Vancouver,1.00,1,jig2;fbcdn,
Willhorse,2014-09-12,7,REPAIR,reclassified: fbcdn gallery (was no-marker-match; fbcdn dead-image marker now detected),68983,Willhorse at The Biltmore Cabaret,1.00,7,fbcdn,
Wintersleep with Fake Palms at The Commodore Ballroom,2016-11-20,39,REPAIR,strong title + in-window + dead-gallery marker,67772,Photos of Wintersleep with Fake Palms at The Commodore Ballroom,1.00,1,jig2;fbcdn,
"Wintersleep, Evening Hymns, Walrus",2016-03-27,25,REPAIR,strong title + in-window + dead-gallery marker,67771,"Photos of Wintersleep, Evening Hymns, and Walrus at the Commodore Ballroom",1.00,1,jig2;fbcdn,
Wolfmother at Commodore Ballroom,2016-04-04,37,REPAIR,strong title + in-window + dead-gallery marker,67774,Photos of Wolfmother at Commodore Ballroom,1.00,0,jig2;fbcdn,
"Wooden Indian Burial Ground, Cult Babies",2014-09-25,12,REPAIR,strong title + in-window + dead-gallery marker,69183,"Wooden Indian Burial Ground, Cult Babies at Electric Owl",1.00,4,oauth,
Wye Oak // July 14 @ The Biltmore Cabaret,2018-07-16,18,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67915,Photos: Wye Oak @ The Biltmore Cabaret,0.67,0,jig2;fbcdn,
Xavier Rudd / June 9 / 2018,2018-06-11,23,REPAIR,"partial-match re-scan: headliner-dilution, confirmed broken gallery",67917,Photos: Xavier Rudd @ Malkin Bowl in Vancouver,0.50,1,jig2;fbcdn,
Yelawolf,2017-10-30,36,REPAIR,strong title + in-window + dead-gallery marker,67918,Photos: Yelawolf� //�51/50 Tour @ The Vogue Theatre in Vancouver,1.00,1,jig2;fbcdn,
Yelewolf at The Commodore Ballroom,2016-11-15,40,REPAIR,strong title + in-window + dead-gallery marker,67775,Photos of Yelewolf at The Commodore Ballroom in Vancouver,1.00,1,oauth,
YG with RJ and Kamaiya at The Vogue,2016-11-23,36,REPAIR,strong title + in-window + dead-gallery marker,67776,Photos of YG with RJ and Kamaiya at The Vogue,1.00,0,oauth,
Yukon Blonde,2015-01-18,7,REPAIR,strong title + in-window + dead-gallery marker,69207,Yukon Blonde at The Biltmore Cabaret,1.00,2,oauth,
Yukon Blonde & The Zolas @ The Commodore Ballroom,2018-12-08,20,REPAIR,strong title + in-window + dead-gallery marker,67920,Photos: Yukon Blonde & The Zolas @ The Commodore Ballroom,1.00,1,jig2;fbcdn,
Zakk Wylde at The Commodore Ballroom,2016-08-31,27,REPAIR,strong title + in-window + dead-gallery marker,65413,27 Photos of Zakk Wylde at the Commodore Ballroom,1.00,1,jig2;fbcdn,
"ZZ Top at Queen Elizabeth Theatre, 03/22/14",2014-03-24,16,REPAIR,strong title + in-window + dead-gallery marker,69221,ZZ Top at Queen Elizabeth Theatre,1.00,0,oauth,
"Agent Orange, In the Whale",2015-04-27,20,ADD,"incidental overlap only (containment 0.33, 1 token) - genuinely new",2425,Hunting The Blues Whale,0.33,981,none,
"Au Revoir Simone at the Biltmore, 7/21/14",2014-07-23,8,ADD,"incidental overlap only (containment 0.25, 1 token) - genuinely new",68983,Willhorse at The Biltmore Cabaret,0.25,58,fbcdn,
Brett Kissel with guest Dan Davidson,2018-03-26,13,ADD,"incidental overlap only (containment 0.25, 1 token) - genuinely new",67554,Photos: Dan Auerbach @ The Vogue Theatre,0.25,43,jig2;fbcdn,
CYMBALS and Goodwood Atoms,2014-07-29,16,ADD,"incidental overlap only (containment 0.33, 1 token) - genuinely new",6979,"Atoms for Peace- ""Ingenue""",0.33,504,none,
ICEAGE  | BLACK LIPS | SURFBORT @ RIckshaw Theatre,2018-11-07,41,ADD,no distinctive overlap - genuinely new,,,,,,
Instagram Photos,2017-06-04,1,ADD,no distinctive overlap - genuinely new,,,,,,
Photos: THE TREWS W/ guests Altameda and Chase The Bear,2019-01-28,23,ADD,"incidental overlap only (containment 0.25, 1 token) - genuinely new",65772,Boy & Bear,0.25,1789,none,
Remembering Jay Smith Benefit,2015-04-06,12,ADD,"incidental overlap only (containment 0.25, 1 token) - genuinely new",68171,Sam Smith,0.25,62,none,
Shane Koyczan,2015-03-29,4,ADD,no distinctive overlap - genuinely new,,,,,,
String Fling III,2015-01-29,20,ADD,"incidental overlap only (containment 0.33, 1 token) - genuinely new",68681,Top Shelf At The Penthouse With Retro Strip Show III,0.33,740,none,
The Acoustic Guitar Project,2014-09-13,14,ADD,"incidental overlap only (containment 0.33, 1 token) - genuinely new",4276,A Closer Look At The Peak Performance Project,0.33,690,none,
"The Real McKenzies, the Isotopes, A Total Disappointment",2015-04-13,28,ADD,"incidental overlap only (containment 0.20, 1 token) - genuinely new",8347,Failing a Total Success,0.20,671,none,
The Ting Tings and Kaneholler,2015-03-31,17,ADD,no distinctive overlap - genuinely new,,,,,,
Trivium | Avatar | Light The Torch @ The Commodore,2018-11-01,54,ADD,no distinctive overlap - genuinely new,,,,,,
Whitehorse,2015-04-11,8,ADD,no distinctive overlap - genuinely new,,,,,,
"36?, Derrival, the Tourist Company",2015-02-26,28,NEEDS_REVIEW,strong title but date off 11d (likely different-year show),65418,"36?, Derrival, the Tourist Company at The Biltmore Cabaret",1.00,11,fbcdn,date-off-repeat
Alabama Shakes,2016-05-31,22,NEEDS_REVIEW,"partial match (containment 0.50, 1 tokens) - confirm",69073,"Win Tickets to Sh-Shakes First Show at Electric Owl � May 20, 2014",0.50,744,none,partial-match
"Alessandro Cortini, Phil Western, Davachi & Smith",2015-04-24,8,NEEDS_REVIEW,strong title but date off 24d (likely different-year show),65526,"Alessandro Cortini, Phil Western, Davachi & Smith at Fox Cabaret",1.00,24,fbcdn,date-off-repeat
"Andrew Jackson Jihad, Dogbreth, and Hard Girls",2014-07-27,19,NEEDS_REVIEW,strong title but date off 16d (likely different-year show),65561,"Andrew Jackson Jihad, Dogbreth, and Hard Girls at The Biltmore Cabaret",1.00,16,fbcdn,date-off-repeat
Asking Alexandria,2018-03-03,8,NEEDS_REVIEW,"partial match (containment 0.50, 1 tokens) - confirm",6836,TEDTalks: Amanda Palmer: The Art of Asking,0.50,1822,none,partial-match
Bahamas,2018-03-03,6,NEEDS_REVIEW,strong title but date off 842d (likely different-year show),65620,Bahamas at the Orpheum Theatre,1.00,842,oauth,date-off-repeat
"Belle and Sebastian, Perfume Genius",2015-04-09,14,NEEDS_REVIEW,strong title but date off 9d (likely different-year show),65677,Belle and Sebastian and Perfume Genius at The Vogue Theatre,1.00,9,fbcdn,date-off-repeat
"Bend Sinster, the Gay Nineties, the Tourist Company",2014-12-29,31,NEEDS_REVIEW,strong title + in-window but NO marker (already fine / empty stub / matched a review),65685,"Bend Sinister, Gay Nineties, & The Tourist Company",0.83,2,none,no-marker-match
Big Sugar -Sept. 8 / 2017,2017-09-11,21,NEEDS_REVIEW,"partial match (containment 0.50, 2 tokens) - confirm",65703,Big Sugar (Victoria),0.50,916,none,partial-match
Big Wreck,2018-03-03,27,NEEDS_REVIEW,strong title but date off 1253d (likely different-year show),65705,Big Wreck at Commodore Ballroom,1.00,1253,none,date-off-repeat
Big Wreck at Commodore Ballroom,2016-07-25,40,NEEDS_REVIEW,strong title but date off 667d (likely different-year show),65705,Big Wreck at Commodore Ballroom,1.00,667,none,date-off-repeat
Black Label Society,2014-12-30,15,NEEDS_REVIEW,strong title but date off 1893d (likely different-year show),67520,Photos: Black Label Society | Vogue Theatre,1.00,1893,jig2,date-off-repeat
Black Veil Brides,2015-02-27,13,NEEDS_REVIEW,strong title but date off 10d (likely different-year show),65735,Black Veil Brides at The Vogue Theatre,1.00,10,fbcdn,date-off-repeat
Blitzen Trapper,2014-10-23,8,NEEDS_REVIEW,strong title but date off 11d (likely different-year show),65739,Blitzen Trapper at The Biltmore Cabaret,1.00,11,fbcdn,date-off-repeat
"Bombay Bicycle Club at the Commodore Ballroom, 04/24/14",2014-04-29,19,NEEDS_REVIEW,strong title but date off 8d (likely different-year show),65751,Bombay Bicycle Club at the Commodore Ballroom,1.00,8,fbcdn,date-off-repeat
Brother Ali,2014-09-26,9,NEEDS_REVIEW,strong title but date off 702d (likely different-year show),4302,Brother Ali Casts Shadows in Vancouver,1.00,702,none,date-off-repeat
"Brothers Osborne @ The Abbotsford Centre | Oct. 21, 2021",2021-10-23,34,NEEDS_REVIEW,"partial match (containment 0.50, 2 tokens) - confirm",67816,Photos: SHINEDOWN with guests @ The Abbotsford Centre,0.50,1294,jig2;fbcdn,partial-match
"Bry Webb and the Providers at the Biltmore, 6/18/14",2014-06-20,12,NEEDS_REVIEW,strong title but date off 16d (likely different-year show),65788,Bry Webb and the Providers at the Biltmore,1.00,16,fbcdn,date-off-repeat
Carlos Santana,2018-03-12,37,NEEDS_REVIEW,"partial match (containment 0.50, 1 tokens) - confirm",67811,Photos: Santana : Divination Tour 2018 @ Abbotsford Centre,0.50,0,jig2;fbcdn,partial-match
"Cat Empire, Current Swell",2015-04-06,23,NEEDS_REVIEW,"partial match (containment 0.50, 2 tokens) - confirm",68497,The Cat Empire to bring exuberant and dynamic performance to Vancouver,0.50,1438,none,partial-match
"Cayucas with Miner at the Media Club, March 11, 2014",2014-03-17,22,NEEDS_REVIEW,strong title but date off 41d (likely different-year show),65861,"Cayucas with Miner at the Media Club, March 11, 2014",1.00,41,fbcdn,date-off-repeat
Christopher Owens,2014-10-09,8,NEEDS_REVIEW,strong title but date off 8d (likely different-year show),65902,Christopher Owens in the Flesh,1.00,8,none,date-off-repeat
Clean Bandit,2015-04-23,13,NEEDS_REVIEW,strong title but date off 172d (likely different-year show),65915,Clean Bandit at The Commodore Ballroom,1.00,172,fbcdn,date-off-repeat
Colin James,2017-03-10,35,NEEDS_REVIEW,strong title but date off 743d (likely different-year show),67543,Photos: Colin James | Orpheum,1.00,743,jig2,date-off-repeat
"Collective Soul - Two Nights / Commodore Ballroom / June 28, 2018",2018-06-29,47,NEEDS_REVIEW,"partial match (containment 0.50, 4 tokens) - confirm",67544,Photos: Collective Soul @ The Commodore Ballroom,0.50,4,jig2;fbcdn,partial-match
Cover photos,2012-03-06,72,NEEDS_REVIEW,strong title but date off 1259d (likely different-year show),67263,NHL star Patrick Kane dropped from video game cover over police investigation,1.00,1259,none,date-off-repeat
Cuban Salsa Lessons with Julio Montero,2018-05-26,60,NEEDS_REVIEW,"partial match (containment 0.60, 3 tokens) - confirm",66844,Julio Montero Brings The Joy of Salsa to Vancouver,0.60,0,none,partial-match
cut,,0,NEEDS_REVIEW,"strong title, album has no date",66016,Cut Copy with Bear Mountain at the Malkin Bowl,1.00,,oauth,no-date
"Damn Fools at FanClub, 6/20/14",2014-06-23,10,NEEDS_REVIEW,strong title but date off 8d (likely different-year show),66021,Damn Fools at FanClub,1.00,8,fbcdn,date-off-repeat
Daniel Wesley,2015-06-07,7,NEEDS_REVIEW,strong title but date off 558d (likely different-year show),66038,Daniel Wesley,1.00,558,none,date-off-repeat
Daniel Wesley at The Commodore,2016-05-16,31,NEEDS_REVIEW,strong title but date off 344d (likely different-year show),66034,Daniel Wesley at the Commodore Ballroom,1.00,344,jig2;fbcdn,date-off-repeat
"David Newberry,The Crackling,Benjamin James Caldwell,Gibson Block",2014-08-05,20,NEEDS_REVIEW,"partial match (containment 0.25, 2 tokens) - confirm",65913,City Walls and David Newberry at The Imperial,0.25,185,fbcdn,partial-match
Depeche Mode,2017-10-30,39,NEEDS_REVIEW,strong title + in-window but NO marker (already fine / empty stub / matched a review),66067,Depeche Mode soars with Spirit,1.00,2,none,no-marker-match
Dropkick Murphys,2014-09-30,11,NEEDS_REVIEW,strong title but date off 90d (likely different-year show),66119,Dropkick Murphys at The Commodore Ballroom,1.00,90,fbcdn,date-off-repeat
Dropkick Murphys | Flogging Molly,2018-09-24,28,NEEDS_REVIEW,strong title but date off 1365d (likely different-year show),66119,Dropkick Murphys at The Commodore Ballroom,1.00,1365,fbcdn,date-off-repeat
"Dum Dum Girls with Blouse at the Biltmore Cabaret, 04/04/14",2014-04-08,16,NEEDS_REVIEW,strong title but date off 16d (likely different-year show),66125,Dum Dum Girls with Blouse at the Biltmore Cabaret,1.00,16,fbcdn,date-off-repeat
Echo & the Bunnymen and Johnny Payne,2014-08-07,13,NEEDS_REVIEW,"partial match (containment 0.50, 2 tokens) - confirm",67692,Photos of Echo and the Bunnymen in Vancouver,0.50,1097,jig2;fbcdn,partial-match
